No.;Time;Source;Destination;Protocol;Length;Info
4368;60.249439;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4369;60.249439;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4370;60.249439;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4371;60.249439;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4372;60.2495;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4373;60.25013;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4374;60.250267;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4375;60.250267;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4376;60.250267;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4377;60.250267;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4378;60.250267;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4379;60.250267;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4380;60.250267;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4381;60.25138;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4382;60.251437;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4383;60.25207;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4384;60.25207;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4385;60.25207;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4386;60.25207;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4387;60.252338;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4388;60.252512;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4389;60.255117;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4390;60.255247;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4391;60.255247;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4392;60.255247;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4393;60.255247;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4394;60.255247;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4395;60.255633;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4396;60.255791;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4397;60.255791;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4398;60.255791;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4399;60.258531;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4400;60.258826;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4401;60.258826;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4402;60.258826;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4403;60.258826;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4404;60.259352;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4405;60.259966;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
